Date,Open,High,Low,Close,Volume,Daily_Return,Price_Range,Price_Change,MA_7,MA_30,MA_90,Volatility_30d,Day_of_Week,Month,Year,Quarter
2015-07-13,310.83,310.95,281.01,292.05,62053900,-6.05,29.94,-18.77,283.88,258.37,241.05,2.63,Monday,7,2015,3
2015-07-14,292.03,296.15,286.64,287.46,28727200,-1.57,9.51,-4.57,286.92,260.16,241.76,2.67,Tuesday,7,2015,3
2015-07-15,288.05,293.25,285.37,285.83,27486600,-0.57,7.88,-2.22,289.06,261.8,242.4,2.67,Wednesday,7,2015,3
2015-07-16,286.04,291.18,275.24,278.09,49482600,-2.71,15.94,-7.95,290.33,262.7,243.01,2.55,Thursday,7,2015,3
2015-07-17,278.09,280.28,272.04,279.47,27591400,0.5,8.24,1.38,289.56,263.71,243.63,2.54,Friday,7,2015,3
2015-07-18,279.33,282.53,274.08,274.9,25187100,-1.64,8.45,-4.43,286.95,264.57,244.21,2.57,Saturday,7,2015,3
2015-07-19,274.77,275.67,272.51,273.61,15332500,-0.47,3.16,-1.15,281.63,265.54,244.76,2.54,Sunday,7,2015,3
2015-07-20,273.5,278.98,272.96,278.98,22711400,1.96,6.02,5.48,279.76,266.67,245.24,2.56,Monday,7,2015,3
2015-07-21,278.88,280.55,275.42,275.83,22930700,-1.13,5.13,-3.05,278.1,267.73,245.71,2.57,Tuesday,7,2015,3
2015-07-22,275.66,277.67,274.38,277.22,19389800,0.5,3.28,1.56,276.87,268.74,246.16,2.56,Wednesday,7,2015,3
2015-07-23,277.34,278.11,275.72,276.05,18531300,-0.42,2.39,-1.29,276.58,269.79,246.66,2.55,Thursday,7,2015,3
2015-07-24,276.01,289.25,275.25,288.28,37199400,4.43,14.0,12.27,277.84,271.39,247.34,2.62,Friday,7,2015,3
2015-07-25,288.16,290.73,286.0,288.7,20662200,0.15,4.73,0.53,279.81,272.92,248.11,2.62,Saturday,7,2015,3
2015-07-26,288.64,293.05,287.71,292.69,16032300,1.38,5.35,4.05,282.54,274.55,248.82,2.63,Sunday,7,2015,3
2015-07-27,292.64,297.77,287.45,293.62,30592000,0.32,10.32,0.98,284.63,275.97,249.57,2.59,Monday,7,2015,3
2015-07-28,293.63,296.65,293.42,294.43,25453600,0.27,3.23,0.79,287.28,277.49,250.33,2.58,Tuesday,7,2015,3
2015-07-29,294.48,294.54,288.78,289.59,24672600,-1.64,5.76,-4.89,289.05,278.57,250.93,2.56,Wednesday,7,2015,3
2015-07-30,289.1,290.13,286.57,287.72,21635800,-0.65,3.56,-1.38,290.72,279.39,251.55,2.54,Thursday,7,2015,3
2015-07-31,287.7,288.96,282.34,284.65,23629100,-1.07,6.62,-3.05,290.2,280.26,252.1,2.52,Friday,7,2015,3
2015-08-01,284.69,284.93,278.11,281.6,18995000,-1.07,6.82,-3.08,289.19,281.13,252.56,2.52,Saturday,8,2015,3
2015-08-02,280.45,283.03,277.53,282.61,17722200,0.36,5.5,2.17,287.75,282.01,253.04,2.52,Sunday,8,2015,3
2015-08-03,282.81,285.47,280.23,281.23,21474100,-0.49,5.24,-1.58,285.98,282.69,253.54,2.51,Monday,8,2015,3
2015-08-04,281.23,285.71,281.23,285.22,21908700,1.42,4.49,3.99,284.66,283.13,254.16,2.41,Tuesday,8,2015,3
2015-08-05,284.85,285.5,281.49,281.88,20128000,-1.17,4.01,-2.96,283.56,283.56,254.65,2.41,Wednesday,8,2015,3
2015-08-06,281.91,281.91,278.4,278.58,18792100,-1.17,3.5,-3.33,282.25,283.97,255.04,2.41,Thursday,8,2015,3
2015-08-07,278.74,280.39,276.37,279.58,42484800,0.36,4.03,0.84,281.53,284.27,255.46,2.4,Friday,8,2015,3
2015-08-08,279.74,279.93,260.71,261.0,58533000,-6.65,19.22,-18.74,278.59,283.99,255.69,2.7,Saturday,8,2015,3
2015-08-09,261.12,267.0,260.47,265.08,23789600,1.57,6.54,3.97,276.08,283.33,255.94,2.48,Sunday,8,2015,3
2015-08-10,265.48,267.03,262.6,264.47,20979400,-0.23,4.44,-1.01,273.69,282.38,256.2,2.41,Monday,8,2015,3
2015-08-11,264.34,270.39,264.09,270.39,25433900,2.24,6.29,6.04,271.57,281.03,256.58,2.15,Tuesday,8,2015,3
2015-08-12,270.6,270.67,265.47,266.38,26815400,-1.48,5.2,-4.22,269.35,280.17,256.91,1.88,Wednesday,8,2015,3
2015-08-13,266.18,266.23,262.84,264.08,27685500,-0.86,3.39,-2.1,267.28,279.39,257.2,1.87,Thursday,8,2015,3
2015-08-14,264.13,267.47,261.48,265.68,27091200,0.61,5.99,1.55,265.3,278.72,257.53,1.87,Friday,8,2015,3
2015-08-15,265.53,266.67,261.3,261.55,19321100,-1.55,5.37,-3.98,265.38,278.17,257.8,1.83,Saturday,8,2015,3
2015-08-16,261.87,262.44,257.04,258.51,29717000,-1.16,5.4,-3.36,264.44,277.47,258.09,1.84,Sunday,8,2015,3
2015-08-17,258.49,260.51,257.12,257.98,21617900,-0.21,3.39,-0.51,263.51,276.91,258.38,1.82,Monday,8,2015,3
2015-08-18,257.93,257.99,211.08,211.08,42147200,-18.18,46.91,-46.85,255.04,274.82,258.12,3.75,Tuesday,8,2015,3
2015-08-19,225.67,237.41,222.77,226.68,60869200,7.39,14.64,1.01,249.37,273.08,258.02,4.01,Wednesday,8,2015,3
2015-08-20,226.9,237.37,226.9,235.35,32275000,3.82,10.47,8.45,245.26,271.73,257.97,4.09,Thursday,8,2015,3
2015-08-21,235.35,236.43,231.72,232.57,23173800,-1.18,4.71,-2.79,240.53,270.24,257.9,4.09,Friday,8,2015,3
2015-08-22,232.66,234.96,222.7,230.39,23205900,-0.94,12.25,-2.27,236.08,268.72,257.78,4.09,Saturday,8,2015,3
2015-08-23,230.38,232.71,225.58,228.17,18406600,-0.96,7.12,-2.21,231.75,266.71,257.68,3.98,Sunday,8,2015,3
2015-08-24,228.11,228.14,210.44,210.49,59220700,-7.75,17.7,-17.62,224.96,264.11,257.39,4.18,Monday,8,2015,3
2015-08-25,210.07,226.32,199.57,221.61,61089200,5.28,26.75,11.54,226.47,261.74,257.21,4.32,Tuesday,8,2015,3
2015-08-26,222.08,231.18,220.2,225.83,31808000,1.91,10.98,3.75,226.34,259.48,257.08,4.34,Wednesday,8,2015,3
2015-08-27,226.05,228.64,223.68,224.77,21905400,-0.47,4.96,-1.28,224.83,257.16,256.95,4.34,Thursday,8,2015,3
2015-08-28,224.7,235.22,220.93,231.4,31336600,2.95,14.29,6.69,224.67,255.22,256.93,4.39,Friday,8,2015,3
2015-08-29,231.55,233.22,227.33,229.78,17142500,-0.7,5.89,-1.77,224.58,253.29,256.92,4.39,Saturday,8,2015,3
2015-08-30,229.9,232.07,226.25,228.76,19412600,-0.44,5.82,-1.13,224.66,251.42,256.99,4.38,Sunday,8,2015,3
2015-08-31,229.11,231.96,225.91,230.06,20710700,0.57,6.04,0.94,227.46,249.7,257.03,4.39,Monday,8,2015,3
2015-09-01,230.26,231.22,226.86,228.12,20575200,-0.84,4.36,-2.13,228.39,247.89,257.06,4.39,Tuesday,9,2015,3
2015-09-02,228.03,230.58,226.48,229.28,18760400,0.51,4.1,1.26,228.88,246.16,257.11,4.39,Wednesday,9,2015,3
2015-09-03,229.32,229.6,226.67,227.18,17482000,-0.92,2.94,-2.14,229.23,244.22,257.14,4.37,Thursday,9,2015,3
2015-09-04,227.21,230.9,227.05,230.3,20962400,1.37,3.85,3.08,229.07,242.5,257.19,4.39,Friday,9,2015,3
2015-09-05,230.2,236.14,229.44,235.02,20671400,2.05,6.7,4.82,229.82,241.05,257.32,4.41,Saturday,9,2015,3
2015-09-06,234.87,242.91,234.68,239.84,25473700,2.05,8.23,4.97,231.4,239.73,257.45,4.43,Sunday,9,2015,3
2015-09-07,239.93,242.11,238.72,239.85,21192200,0.0,3.38,-0.09,232.8,239.02,257.57,4.28,Monday,9,2015,3
2015-09-08,239.85,245.78,239.68,243.61,26879200,1.57,6.1,3.76,235.01,238.31,257.74,4.28,Tuesday,9,2015,3
2015-09-09,243.41,244.42,237.82,238.17,23635700,-2.23,6.6,-5.25,236.28,237.43,257.83,4.29,Wednesday,9,2015,3
2015-09-10,238.34,241.29,235.79,238.48,21215500,0.13,5.5,0.14,237.89,236.37,257.92,4.27,Thursday,9,2015,3
2015-09-11,238.33,241.17,238.33,240.11,19224700,0.68,2.84,1.78,239.29,235.49,258.01,4.26,Friday,9,2015,3
2015-09-12,239.85,240.12,234.75,235.23,17962600,-2.03,5.37,-4.63,239.32,234.53,258.03,4.28,Saturday,9,2015,3
2015-09-13,235.24,235.93,229.33,230.51,18478800,-2.01,6.6,-4.73,237.99,233.36,257.96,4.28,Sunday,9,2015,3
2015-09-14,230.61,232.44,227.96,230.64,20997800,0.06,4.48,0.04,236.68,232.33,257.73,4.28,Monday,9,2015,3
2015-09-15,230.49,259.18,229.82,230.3,19177800,-0.15,29.36,-0.19,234.78,231.39,257.52,4.28,Tuesday,9,2015,3
2015-09-16,230.25,231.21,227.4,229.09,20144200,-0.53,3.81,-1.16,233.48,230.42,257.3,4.28,Wednesday,9,2015,3
2015-09-17,229.08,230.29,228.93,229.81,18935400,0.31,1.36,0.73,232.24,231.05,257.14,2.62,Thursday,9,2015,3
2015-09-18,233.52,234.35,232.18,232.98,20242200,1.38,2.17,-0.55,231.22,231.26,257.0,2.27,Friday,9,2015,3
2015-09-19,232.86,233.21,231.09,231.49,12712600,-0.64,2.12,-1.37,230.69,231.13,256.86,2.16,Saturday,9,2015,3
2015-09-20,231.4,232.37,230.91,231.21,14444700,-0.12,1.46,-0.19,230.79,231.08,256.69,2.15,Sunday,9,2015,3
2015-09-21,231.22,231.22,226.52,227.09,19678800,-1.78,4.7,-4.13,230.28,230.97,256.5,2.17,Monday,9,2015,3
2015-09-22,226.97,232.39,225.12,230.62,25009300,1.56,7.27,3.65,230.33,231.05,256.39,2.18,Tuesday,9,2015,3
2015-09-23,230.94,231.84,229.59,230.28,17254100,-0.15,2.24,-0.65,230.5,231.71,256.25,1.61,Wednesday,9,2015,3
2015-09-24,230.36,235.65,230.29,234.53,25097800,1.84,5.35,4.17,231.17,232.14,256.15,1.34,Thursday,9,2015,3
2015-09-25,234.36,237.43,233.68,235.14,22363600,0.26,3.74,0.78,231.48,232.45,255.97,1.3,Friday,9,2015,3
2015-09-26,235.08,235.4,233.36,234.34,13724100,-0.34,2.04,-0.74,231.89,232.77,255.81,1.3,Saturday,9,2015,3
2015-09-27,234.14,234.53,232.48,232.76,14179900,-0.68,2.05,-1.38,232.11,232.82,255.54,1.2,Sunday,9,2015,3
2015-09-28,232.84,239.34,232.47,239.14,24713000,2.74,6.87,6.31,233.83,233.13,255.27,1.29,Monday,9,2015,3
2015-09-29,239.02,239.8,235.93,236.69,22691300,-1.03,3.87,-2.33,234.7,233.4,255.03,1.3,Tuesday,9,2015,3
2015-09-30,236.64,237.73,235.63,236.06,19743500,-0.26,2.1,-0.58,235.52,233.6,254.81,1.3,Wednesday,9,2015,3
2015-10-01,236.0,238.45,235.62,237.55,20488800,0.63,2.83,1.54,235.95,233.91,254.6,1.29,Thursday,10,2015,4
2015-10-02,237.26,238.54,236.6,237.29,19677900,-0.11,1.94,0.03,236.26,234.18,254.34,1.29,Friday,10,2015,4
2015-10-03,237.2,239.32,236.94,238.73,16482700,0.61,2.37,1.53,236.89,234.56,253.97,1.28,Saturday,10,2015,4
2015-10-04,238.53,238.97,237.94,238.26,12999000,-0.2,1.03,-0.27,237.67,234.83,253.63,1.26,Sunday,10,2015,4
2015-10-05,238.15,240.38,237.04,240.38,23335900,0.89,3.35,2.24,237.85,235.01,253.34,1.21,Monday,10,2015,4
2015-10-06,240.36,246.93,240.14,246.06,27535100,2.36,6.8,5.7,239.19,235.21,253.07,1.23,Tuesday,10,2015,4
2015-10-07,246.17,246.68,242.59,242.97,22999200,-1.26,4.1,-3.2,240.18,235.32,252.78,1.26,Wednesday,10,2015,4
2015-10-08,243.07,244.25,242.18,242.3,18515300,-0.27,2.07,-0.77,240.86,235.27,252.3,1.22,Thursday,10,2015,4
2015-10-09,242.5,244.23,242.12,243.93,17353100,0.67,2.11,1.43,241.81,235.47,251.76,1.16,Friday,10,2015,4
2015-10-10,243.74,245.32,243.07,244.94,15912700,0.41,2.24,1.2,242.69,235.68,251.02,1.16,Saturday,10,2015,4
2015-10-11,244.74,247.24,244.15,247.05,16827300,0.86,3.09,2.31,243.95,235.91,250.52,1.16,Sunday,10,2015,4
2015-10-12,246.88,247.45,245.18,245.31,17388300,-0.71,2.27,-1.57,244.65,236.25,250.06,1.1,Monday,10,2015,4
2015-10-13,245.2,250.24,243.76,249.51,28198500,1.71,6.48,4.31,245.14,236.88,249.65,1.06,Tuesday,10,2015,4
2015-10-14,249.49,254.27,248.9,251.99,27462600,0.99,5.37,2.5,246.43,237.59,249.36,1.07,Wednesday,10,2015,4
2015-10-15,252.11,255.96,252.05,254.32,25223500,0.93,3.92,2.21,248.15,238.39,249.08,1.07,Thursday,10,2015,4
2015-10-16,254.3,266.14,253.93,262.87,35901500,3.36,12.21,8.57,250.85,239.52,248.95,1.19,Friday,10,2015,4
2015-10-17,262.75,273.58,262.37,270.64,43199600,2.96,11.21,7.89,254.53,240.88,248.92,1.27,Saturday,10,2015,4
2015-10-18,270.91,271.67,260.78,261.64,22434300,-3.32,10.89,-9.26,256.61,241.84,248.72,1.45,Sunday,10,2015,4
2015-10-19,261.86,264.82,260.95,263.44,25258800,0.69,3.87,1.58,259.2,242.9,248.59,1.43,Monday,10,2015,4
2015-10-20,263.57,270.83,263.23,269.46,30889800,2.29,7.61,5.89,262.05,244.18,248.5,1.47,Tuesday,10,2015,4
2015-10-21,269.31,270.77,263.84,266.27,25637300,-1.18,6.93,-3.03,264.09,245.48,248.39,1.44,Wednesday,10,2015,4
2015-10-22,266.5,276.51,266.14,274.02,37808600,2.91,10.38,7.53,266.91,246.93,248.23,1.49,Thursday,10,2015,4
2015-10-23,273.65,278.68,273.54,276.5,29442500,0.9,5.14,2.85,268.85,248.47,248.1,1.49,Friday,10,2015,4
2015-10-24,276.5,281.71,276.5,281.65,25942400,1.87,5.2,5.15,270.43,250.04,247.97,1.49,Saturday,10,2015,4
2015-10-25,281.45,294.06,281.45,283.68,45717100,0.72,12.61,2.23,273.58,251.66,247.86,1.49,Sunday,10,2015,4
2015-10-26,283.63,285.3,280.51,285.3,32108800,0.57,4.79,1.67,276.7,253.36,247.76,1.47,Monday,10,2015,4
2015-10-27,285.18,296.21,285.01,293.79,46331800,2.98,11.2,8.61,280.17,255.39,247.81,1.51,Tuesday,10,2015,4
